id,project,branch,topic,change_id,subject,status,created,updated,submitted,insertions,deletions,total_comment_count,number,current_revision,discussion_messages_count,reviewers_count,revisions_count,files_count,owner_account_id,owner_name,owner_username,commit_message
openstack%2Fpuppet-glance~master~Idff0ff4052ee9db4395a0b556f4c01c5538450dd,openstack/puppet-glance,master,bug/1528308,Idff0ff4052ee9db4395a0b556f4c01c5538450dd,Make Keystone_endpoint match service by name/type,MERGED,2015-12-21 15:08:50.000000000,2015-12-22 19:16:05.000000000,2015-12-22 19:16:05.000000000,14,18,0,260044,866af363f35d45dd4aac1c0280bece68214297ac,33,4,8,3,3153,Emilien Macchi,emilienm,"Make Keystone_endpoint match service by name/type

Since a chance in puppet-keystone (1], we now match an endpoint with a
service name/type.
This patch reflects this change for 'image' service endpoint.
)
[1] http://git.openstack.org/cgit/openstack/puppet-keystone/commit/?id=0a4e06abb0f5b3f324464ff5219d2885816311ce

Closes-Bug: #1528308

Change-Id: Idff0ff4052ee9db4395a0b556f4c01c5538450dd
"
openstack%2Ffuel-astute~master~I0ee6eaa255fdf2629052cf6233df46a5ce92399d,openstack/fuel-astute,master,I0ee6eaa255fdf2629052cf6233df46a5ce92399d,I0ee6eaa255fdf2629052cf6233df46a5ce92399d,Update fuel_deployment to 0.3.0,MERGED,2015-12-11 15:01:03.000000000,2015-12-22 19:15:27.000000000,2015-12-22 19:14:48.000000000,1184,495,15,256453,8fdc4e3a709e967dd8bf8d55be8ed79c7a9642a9,58,4,12,21,9037,Dmitry Ilyin,dilyin,"Update fuel_deployment to 0.3.0

* Reimplement graph plot method
* Add weights feature
* Change process to cluster
* Add tests

Change-Id: I0ee6eaa255fdf2629052cf6233df46a5ce92399d
"
openstack%2Freleases~master~Id056732e92f0a74153868bc0ab4b001cd8ad47af,openstack/releases,master,,Id056732e92f0a74153868bc0ab4b001cd8ad47af,Release os-client-config 0.13.0,MERGED,2015-12-21 16:44:47.000000000,2015-12-22 19:06:49.000000000,2015-12-22 19:06:49.000000000,6,0,0,260090,b31f029c16452ad2e89acc61c4f62ae7bfea9349,9,3,2,1,2,Monty Taylor,mordred,"Release os-client-config 0.13.0

There is a new helper method that keystone wants to use, and there are
several minor additions we want for python-novaclient.

Needed-By: I48d5f30ce0a050b8a33cb6727e3d0f172621e0e7
Change-Id: Id056732e92f0a74153868bc0ab4b001cd8ad47af
"
openstack%2Fmagnum~master~Ic2a9b16bbd4c13794c7ef95309bd260366ec872e,openstack/magnum,master,bug/1502367,Ic2a9b16bbd4c13794c7ef95309bd260366ec872e,Make kubernetes API client generic,MERGED,2015-12-21 23:20:50.000000000,2015-12-22 18:57:47.000000000,2015-12-22 18:57:46.000000000,47,285,0,260240,fee4b609c0bacae84d14e277cb9e8cb318a88b5e,11,3,1,4,10263,Vilobh Meshram,vilobhmm,"Make kubernetes API client generic

Make kubernetes API client generic. Right now each k8s object has
a way to create k8s API client. This was needed to make sure the
tests passed. Now since all the objects-from-bay patches are merged
in its better to make the client creation logic generic.

Change-Id: Ic2a9b16bbd4c13794c7ef95309bd260366ec872e
Closes-Bug: #1502367
"
openstack%2Fpuppet-mistral~master~Ib8ccfee2e9613c6fafe1890e687bc2d18c3eed4d,openstack/puppet-mistral,master,bug/1528308,Ib8ccfee2e9613c6fafe1890e687bc2d18c3eed4d,unit tests: make Keystone_endpoint match service by name/type,MERGED,2015-12-21 19:17:35.000000000,2015-12-22 18:56:43.000000000,2015-12-22 18:56:43.000000000,8,11,0,260173,8f4d8d977828a76fcf238d4837c91fb1fde6e0ed,15,4,2,1,3153,Emilien Macchi,emilienm,"unit tests: make Keystone_endpoint match service by name/type

Since a chance in puppet-keystone (1], we now match an endpoint with a
service name/type.
)
[1] http://git.openstack.org/cgit/openstack/puppet-keystone/commit/?id=0a4e06abb0f5b3f324464ff5219d2885816311ce

Closes-Bug: #1528308

Change-Id: Ib8ccfee2e9613c6fafe1890e687bc2d18c3eed4d
"
openstack%2Fpuppet-tripleo~master~Ide26ca1740dc12ea5f47a28f4cecacd6ef0b18f9,openstack/puppet-tripleo,master,ipv6/interface_for_ip,Ide26ca1740dc12ea5f47a28f4cecacd6ef0b18f9,Adds IPv6 support for interface_for_ip function,MERGED,2015-11-16 06:19:16.000000000,2015-12-22 18:50:28.000000000,2015-12-22 18:50:28.000000000,66,13,14,245643,11a0619a290d64f3caa45435a23f3e503530087a,53,9,9,2,6525,Gilles Dubreuil,q-1illes-a,"Adds IPv6 support for interface_for_ip function

Proper interface matching when an IPv6 address is provided.

If Facter version used is < 3 then it adds the netmask6 facts as custom facts.

Fix bugs https://bugzilla.redhat.com/show_bug.cgi?id=1280523

Change-Id: Ide26ca1740dc12ea5f47a28f4cecacd6ef0b18f9
"
openstack%2Fcue~master~I06ce0abf28dc60f70744b4e046dd20cbb27e73d3,openstack/cue,master,bug/1426103,I06ce0abf28dc60f70744b4e046dd20cbb27e73d3,Validate uuid parameters at api layer,MERGED,2015-10-29 04:46:47.000000000,2015-12-22 18:48:48.000000000,2015-12-22 18:48:48.000000000,19,4,10,240113,9ceb03bf183a4e06abc9007698fca19a8d35a70b,31,6,8,2,14955,Abitha Palaniappan,Abitha,"Validate uuid parameters at api layer

Closes-Bug:1426103
Change-Id: I06ce0abf28dc60f70744b4e046dd20cbb27e73d3
"
openstack%2Fheat-specs~master~I95f6bfaf9f4a33bf805ef82ddb5244d8662f1009,openstack/heat-specs,master,bp/indirection-api,I95f6bfaf9f4a33bf805ef82ddb5244d8662f1009,Create indirection API for versioned objects,ABANDONED,2015-04-23 08:01:40.000000000,2015-12-22 18:48:13.000000000,,68,0,6,176654,07222a4015c5136937fc32090c5ec31b35412b21,11,8,1,1,10787,Michal Jastrzebski (inc0),inc0,"Create indirection API for versioned objects

To make full use of versioned objects we need to enable RPC calls
using them. This is role of indirection API.

blueprint indirection-api

Change-Id: I95f6bfaf9f4a33bf805ef82ddb5244d8662f1009
"
openstack%2Ffuel-library~master~I05327aad3f2a72b748707ccb2942b70400ae55b4,openstack/fuel-library,master,bug/1528186,I05327aad3f2a72b748707ccb2942b70400ae55b4,Use tags in the dnsmasq for HTTP boot,MERGED,2015-12-22 09:06:15.000000000,2015-12-22 18:47:58.000000000,2015-12-22 18:47:04.000000000,8,2,0,260398,39bc263006970bff045a514de80fa2f502187b18,62,11,4,2,14200,Maksim Malchuk,mmalchuk,"Use tags in the dnsmasq for HTTP boot

Use tags in the dnsmasq instead old 'net' method to support
multirack feature.

Change-Id: I05327aad3f2a72b748707ccb2942b70400ae55b4
Related-Bug: #1528186
"
openstack%2Fpuppet-vitrage~master~I64088fb3fa7615eef41e566d67bed79dd8b1463c,openstack/puppet-vitrage,master,bug/1528308,I64088fb3fa7615eef41e566d67bed79dd8b1463c,Make Keystone_endpoint match service by name/type,MERGED,2015-12-21 20:04:57.000000000,2015-12-22 18:46:07.000000000,2015-12-22 18:46:07.000000000,10,13,0,260200,479098069f1137ff8f4b803d7dad3d77436db754,19,5,4,2,3153,Emilien Macchi,emilienm,"Make Keystone_endpoint match service by name/type

Since a chance in puppet-keystone (1], we now match an endpoint with a
service name/type.
[1] http://git.openstack.org/cgit/openstack/puppet-keystone/commit/?id=0a4e06abb0f5b3f324464ff5219d2885816311ce

Change-Id: I64088fb3fa7615eef41e566d67bed79dd8b1463c
Closes-Bug: #1528308
"
