id,project,branch,topic,change_id,subject,status,created,updated,submitted,insertions,deletions,total_comment_count,number,current_revision,discussion_messages_count,reviewers_count,revisions_count,files_count,owner_account_id,owner_name,owner_username,commit_message
openstack%2Fkolla-ansible~master~Icef8d2ec95629a78ba761778df2f92ef9494d166,openstack/kolla-ansible,master,bug/1657894,Icef8d2ec95629a78ba761778df2f92ef9494d166,Fix magnum [DEFAULT] configuration.,MERGED,2017-01-19 22:22:18.000000000,2017-01-24 12:41:00.000000000,2017-01-24 12:41:00.000000000,2,0,6,422896,2a9ecd84e60db02a0a7bc2b44f1b3ed1bf3bec55,16,7,2,1,22622,Cornelio Hopmann,chopmann,"Fix magnum [DEFAULT] configuration.

Change-Id: Icef8d2ec95629a78ba761778df2f92ef9494d166
Closes-Bug: #1657894
"
openstack%2Fkolla-ansible~master~Ibc6c1806304c490f10c8465dd041ee7c414dc665,openstack/kolla-ansible,master,,Ibc6c1806304c490f10c8465dd041ee7c414dc665,Add the missing option into globals.yml,MERGED,2017-01-24 05:59:17.000000000,2017-01-24 12:40:53.000000000,2017-01-24 12:40:53.000000000,2,0,1,424436,fdca838b6df807687954bdbdc1c14e7850765bd7,11,4,2,1,22165,caoyuan,caoyuan,"Add the missing option into globals.yml

- panko
- vmtp

Change-Id: Ibc6c1806304c490f10c8465dd041ee7c414dc665
"
openstack%2Fironic-inspector~master~Ia73426daa3b2da833bf4a322134d5181e77bb434,openstack/ironic-inspector,master,openstack/requirements,Ia73426daa3b2da833bf4a322134d5181e77bb434,Updated from global requirements,MERGED,2017-01-21 14:55:10.000000000,2017-01-24 12:38:58.000000000,2017-01-24 12:38:58.000000000,2,2,0,423639,75a99f4c0345c5f64c3ef4b2e1be061afc53c345,8,3,2,1,11131,OpenStack Proposal Bot,proposal-bot,"Updated from global requirements

Change-Id: Ia73426daa3b2da833bf4a322134d5181e77bb434
"
openstack%2Fmistral~master~I3d8fe9a617d5e3f916a8c102d0408354064b766c,openstack/mistral,master,invalid_jinja_regex,I3d8fe9a617d5e3f916a8c102d0408354064b766c,Invalid jinja pattern regex corrected,MERGED,2017-01-24 10:28:13.000000000,2017-01-24 12:35:23.000000000,2017-01-24 12:35:23.000000000,2,2,0,424566,5267e1eb1c4e7f9c619cc24a9a5f9e23abcca2a8,12,5,1,1,23271,Istvan Imre,istvan.imre,"Invalid jinja pattern regex corrected

Due to this invalid regex it is not possible to run workflows
with Jinja2 expressions in some python2 environment.

Change-Id: I3d8fe9a617d5e3f916a8c102d0408354064b766c
Closes-bug: #1658958
"
openstack%2Fhorizon~master~I7813153c65652ce6e1a5ac03204a8738eefdc64e,openstack/horizon,master,vol-backup-no-containername,I7813153c65652ce6e1a5ac03204a8738eefdc64e,Autogenerate container name correctly for vol backup,MERGED,2017-01-23 17:40:01.000000000,2017-01-24 12:28:35.000000000,2017-01-24 08:57:59.000000000,4,1,0,424261,90a9af2e0b4524b4dec1caafbb6159cb587878d4,10,15,1,1,6650,Eric Peterson,ericpeterson-l,"Autogenerate container name correctly for vol backup

The volume backup code is passing '' as a default container name,
which will cause cinder/swift to fail.   If no container name is provided,
the default value of None will enable the auto creation of a container correctly.

Change-Id: I7813153c65652ce6e1a5ac03204a8738eefdc64e
Closes-Bug: #1658137
"
openstack%2Fcinder~master~I5bb1d5160fc64dd33a2502bbeb3ae408a25f6cce,openstack/cinder,master,bug/1657588,I5bb1d5160fc64dd33a2502bbeb3ae408a25f6cce,Fix for FC Initiator API in Nimble Storage Driver,MERGED,2017-01-19 19:32:48.000000000,2017-01-24 12:24:39.000000000,2017-01-19 23:20:47.000000000,24,8,0,422835,e73ae915c9c614002efe13fc33fb22e68f5edf84,39,25,1,2,16668,Raunak Kumar,rkumar,"Fix for FC Initiator API in Nimble Storage Driver

Make FC Initiator Rest API's backward compatible with
older versions of Nimble OS

Change-Id: I5bb1d5160fc64dd33a2502bbeb3ae408a25f6cce
Closes-Bug: #1657588
"
openstack%2Fironic-python-agent~master~I0ebadafca70d9cddf761f2ef54726e0123af10f5,openstack/ironic-python-agent,master,,I0ebadafca70d9cddf761f2ef54726e0123af10f5,Mock out get_wildcard_address,MERGED,2017-01-20 11:53:47.000000000,2017-01-24 12:21:46.000000000,2017-01-24 12:21:46.000000000,13,5,3,423227,95956588c736174213c4abc5bf0968332cde2e83,16,7,2,1,1926,Derek Higgins,derekh,"Mock out get_wildcard_address

In cases where unit tests are running in a env where IPv6 isn't enabled
it was returning the IPv4 wildcard address.

Change-Id: I0ebadafca70d9cddf761f2ef54726e0123af10f5
"
openstack%2Fpython-ironicclient~master~I5fd5e41983c052717474dc33571abf0856ecca28,openstack/python-ironicclient,master,bug/1526226,I5fd5e41983c052717474dc33571abf0856ecca28,"Follow up nits in the patch ""ironic node-inject-nmi""",MERGED,2017-01-24 01:47:57.000000000,2017-01-24 12:10:54.000000000,2017-01-24 12:10:54.000000000,3,2,0,424402,daf6db7530b5053fd3f52f366bc9a0d66a589172,8,4,1,2,13719,Naohiro Tamura,nao,"Follow up nits in the patch ""ironic node-inject-nmi""

This is a follow-up patch for 'Add a new command ""ironic
node-inject-nmi""' [1] to fix nits, docstring and release note.

 [1] Ib19e020685d46051ddf3086adde57ed229b22797

Change-Id: I5fd5e41983c052717474dc33571abf0856ecca28
Partial-Bug: #1526226
"
openstack%2Foslo.db~master~I7a401a55826924858ddc396ce19530b8bda3bcf7,openstack/oslo.db,master,openstack/requirements,I7a401a55826924858ddc396ce19530b8bda3bcf7,Updated from global requirements,MERGED,2017-01-21 15:01:42.000000000,2017-01-24 12:06:16.000000000,2017-01-24 12:06:16.000000000,1,1,0,423652,fcc794f531777ed1b80962ad700a166bff8c47c6,6,2,1,1,11131,OpenStack Proposal Bot,proposal-bot,"Updated from global requirements

Change-Id: I7a401a55826924858ddc396ce19530b8bda3bcf7
"
openstack%2Fkarbor~master~I5f08adce86a32306c8548fe32464d2863579c6ed,openstack/karbor,master,bp/restore-resource-status,I5f08adce86a32306c8548fe32464d2863579c6ed,Add 'Restore Resources Status' spec,MERGED,2017-01-22 09:49:34.000000000,2017-01-24 12:03:34.000000000,2017-01-24 12:03:34.000000000,136,2,0,423790,a38959be5c235d251b97e129cba23a59a356d084,10,4,2,5,20883,Yuval Brik,yuvalbr,"Add 'Restore Resources Status' spec

Protection plugin should be able to set the status of a restoring
resource during a restore operation. By doing so, users gain visiblity
of the restore process, the status of each resource, and the reason
for restore failure.

Change-Id: I5f08adce86a32306c8548fe32464d2863579c6ed
Implements: blueprint restore-resource-status
"
openstack%2Frequirements~master~I54efbadceea8bf3b014905310af91d36664f26b5,openstack/requirements,master,novaclient,I54efbadceea8bf3b014905310af91d36664f26b5,Update min version of novaclient,MERGED,2017-01-22 13:09:54.000000000,2017-01-24 12:01:29.000000000,2017-01-24 12:01:29.000000000,1,1,0,423808,5046aafb8c208df5316b5b850dffc815d783c49b,19,3,1,1,9545,Andrey Kurilin,akurilin,"Update min version of novaclient

It was not updated for a long time and range of ""right"" version includes
too much deprecation and removals.

Here are some of big changes:

* Release 3.0.0 - deprecated module novaclient.v1_1 was removed. It is
  totally backward incompatible change.
* Release 4.0.0 - removed volume, volume-type and volume-snapshot
  create/update/delete/list CLIs and python API bindings.
* Release 5.0.0 - baremetal-node-list, baremetal-node-show,
  baremetal-interface-list CLIs wer deprecated.
* Release 6.0.0 - bunch of CLIs were deprecated: dns-create,
  dns-create-private-domain, dns-create-public-domain, dns-delete,
  dns-delete-domain, dns-domains, dns-list, fixed-ip-get, fixed-ip-reserve,
  fixed-ip-unreserve, floating-ip-create, floating-ip-delete,
  floating-ip-list, floating-ip-pool-list, floating-ip-bulk-create,
  floating-ip-bulk-delete, floating-ip-bulk-list, network-create,
  network-delete, network-disassociate, network-associate-host,
  network-associate-project, network-list, network-show, scrub,
  secgroup-create, secgroup-delete, secgroup-list, secgroup-update
  secgroup-add-group-rule, secgroup-delete-group-rule, secgroup-add-rule,
  secgroup-delete-rule, secgroup-list-rules, secgroup-list-default-rules,
  secgroup-add-default-rule, secgroup-delete-default-rule,
  tenant-network-create, tenant-network-delete, tenant-network-list,
  tenant-network-show.
* Release 7.0.0 - this release contains a big change related to python API.
  Several arguments were deprecated, meaning of other were changed (see
  release notes for more details)

Change-Id: I54efbadceea8bf3b014905310af91d36664f26b5
"
