id,project,branch,topic,change_id,subject,status,created,updated,submitted,insertions,deletions,total_comment_count,number,current_revision,discussion_messages_count,reviewers_count,revisions_count,files_count,owner_account_id,owner_name,owner_username,commit_message
openstack%2Fnetworking-bagpipe~master~Ib698e1ce6dd5bfb8b08c69e824d11e3532d49306,openstack/networking-bagpipe,master,fullstack_2,Ib698e1ce6dd5bfb8b08c69e824d11e3532d49306,bagpipe-bgp: log config on startup,MERGED,2017-03-17 15:42:32.000000000,2017-03-20 12:20:49.000000000,2017-03-20 12:20:48.000000000,2,0,0,447038,a432e5883199a510727c3b1f17099d42804efc4a,11,2,1,1,12021,Thomas Morin,tmorin,"bagpipe-bgp: log config on startup

use oslo.config helper to long configuration on startup

Change-Id: Ib698e1ce6dd5bfb8b08c69e824d11e3532d49306
"
openstack%2Ftripleo-heat-templates~stable%2Fnewton~I5b1e893ad6b1fc2cae471e296ca27973e5265088,openstack/tripleo-heat-templates,stable/newton,bug/1671555,I5b1e893ad6b1fc2cae471e296ca27973e5265088,DO NOT MERGE - test for bug 1671555,ABANDONED,2017-03-10 00:48:05.000000000,2017-03-20 12:15:19.000000000,,0,0,0,444049,1b10cb964e78efdfe9b97c5f137c01984e796f75,4,1,1,1,7144,James Slagle,slagle,"DO NOT MERGE - test for bug 1671555

Change-Id: I5b1e893ad6b1fc2cae471e296ca27973e5265088
Depends-On: I52a9dba47ef8f101d35318dd6d4723f9ec0a01ae
"
openstack%2Fkeystone~master~I955dc00b04f0ef81573e3f10ecabd3d182e59730,openstack/keystone,master,bug/1670382,I955dc00b04f0ef81573e3f10ecabd3d182e59730,Whitelist ldap group configs,ABANDONED,2017-03-06 18:38:04.000000000,2017-03-20 12:13:36.000000000,,7,6,2,442103,3df6fecc0cf8164537597820d24dbe6b50ec944e,6,3,1,1,8482,Colleen Murphy,krinkle,"Whitelist ldap group configs

The [ldap] parameters `group_members_are_ids` and `group_ad_nesting`
were not whitelisted before, and so domain specific config files
containing those parameters could not be uploaded. These parameters are
still valid and are generally going to be specific to their respective
domains, so they should be on the whitelist.

Closes-bug: #1670382

Change-Id: I955dc00b04f0ef81573e3f10ecabd3d182e59730
"
openstack%2Fsahara-tests~master~I60749e1a691340ab5d7bb06205c93bc92624834a,openstack/sahara-tests,master,bug/1566941,I60749e1a691340ab5d7bb06205c93bc92624834a,Add ability use private_key for existing_cluster,NEW,2016-04-07 10:09:16.000000000,2017-03-20 12:10:25.000000000,,80,6,31,302641,e00444edbf6f031b2bad6de0224154bb5994ec5c,63,6,17,6,13919,Evgeny Sikachev,esikachev,"Add ability use private_key for existing_cluster

You can specify path to ssh-key for testing existing cluster.
closes-bug: #1566941

Change-Id: I60749e1a691340ab5d7bb06205c93bc92624834a
"
openstack%2Fmagnum~master~I8912091ebcb5c1ef940f43e5195a849f8fa6370e,openstack/magnum,master,bp/coreos-best-pratice,I8912091ebcb5c1ef940f43e5195a849f8fa6370e,Add CoreOS/K8s recommended defaults to kube-proxy,MERGED,2017-03-01 10:19:19.000000000,2017-03-20 12:07:32.000000000,2017-03-20 12:07:32.000000000,28,0,0,439518,a18724b6127241311eaef9c4f8a2bd4e8556fcc4,9,3,2,2,18552,Kevin Lefevre,ArchiFleKs,"Add CoreOS/K8s recommended defaults to kube-proxy

The cluster-cidr fix asymetric routing in specific
use case. Adding dbus removes iptables error message for kube-proxy and
adding ${HOST_CERT_PATH} is just common practice.

Change-Id: I8912091ebcb5c1ef940f43e5195a849f8fa6370e
Partially-Implements: bp coreos-best-pratice
"
openstack%2Fmonasca-agent~master~I6b3e6c145a9a9fe081a59ec79fa4dde5da6c2a26,openstack/monasca-agent,master,logstash-plugin-detection,I6b3e6c145a9a9fe081a59ec79fa4dde5da6c2a26,Add logstash.py detection plugin,NEW,2017-03-17 10:53:46.000000000,2017-03-20 12:06:41.000000000,,39,0,1,446954,bc7100e1071f476d2e053a88233a1ebda05ac4c2,9,3,3,1,24679,Fontenay Tony,weezhard,"Add logstash.py detection plugin

This plugin detects the logstash proccess

* Fix pep

Change-Id: I6b3e6c145a9a9fe081a59ec79fa4dde5da6c2a26
"
openstack%2Fopenstack-ansible-repo_build~stable%2Fnewton~I3f36afa307e02a38d73b860fc23ed94a09882c34,openstack/openstack-ansible-repo_build,stable/newton,bug/1641131,I3f36afa307e02a38d73b860fc23ed94a09882c34,Modified repo build for better multi-OS support,MERGED,2017-03-16 01:17:40.000000000,2017-03-20 11:59:14.000000000,2017-03-20 11:59:14.000000000,55,36,0,446256,3e6345f43768ae0672048072a8dc5bea1f109562,18,3,4,14,7353,Kevin Carter,cloudnull,"Modified repo build for better multi-OS support

The repo build role will now store all wheels and venvs in directories
containg information about the OS in which the bits were build on. The
intention here is to ensure that all installation are able to support
multi-OS without running into issues caused by system packages and
different core libs. This change builds upon the multi-archetecture
support we already have.

Closes-Bug: 1641131
Change-Id: I3f36afa307e02a38d73b860fc23ed94a09882c34
Signed-off-by: Kevin Carter <kevin.carter@rackspace.com>
(cherry picked from commit fe3ae20f74a912925d5c78040984957a6d55f9de)
"
openstack%2Fironic-lib~master~I6c88a6a8142634c1194832896f40f9bc9c122367,openstack/ironic-lib,master,,I6c88a6a8142634c1194832896f40f9bc9c122367,flake8: Specify 'ironic_lib' as name of app,MERGED,2017-03-16 15:41:43.000000000,2017-03-20 11:54:23.000000000,2017-03-20 11:54:22.000000000,1,0,0,446605,009d0abcada8f022d56c76cc52c9ed22878321a7,8,3,1,1,14760,John L. Villalovos,jlvillal,"flake8: Specify 'ironic_lib' as name of app

Specify 'ironic_lib' as the name of the application for the flake8-import-order
plugin. That way it knows that imports of ironic_lib should come after external
libraries.

Change-Id: I6c88a6a8142634c1194832896f40f9bc9c122367
"
openstack%2Fopenstack-ansible~master~I00c76139f2d6292dcfcc27027a9f25994fced337,openstack/openstack-ansible,master,openstack/requirements,I00c76139f2d6292dcfcc27027a9f25994fced337,Updated from global requirements,MERGED,2017-03-16 22:57:03.000000000,2017-03-20 11:47:12.000000000,2017-03-20 11:47:12.000000000,1,1,0,446778,2feef333ca30c0994efb158798587d11635430b2,7,3,1,1,11131,OpenStack Proposal Bot,proposal-bot,"Updated from global requirements

Change-Id: I00c76139f2d6292dcfcc27027a9f25994fced337
"
openstack%2Fkolla-ansible~stable%2Focata~I0eed4024b4ca86e458d92bd9703fb4a02feee947,openstack/kolla-ansible,stable/ocata,bug/1666618,I0eed4024b4ca86e458d92bd9703fb4a02feee947,Enable horizon_backend_database if murano is enabled,MERGED,2017-03-14 23:44:36.000000000,2017-03-20 11:46:13.000000000,2017-03-20 11:46:13.000000000,2,2,0,445685,bffd75dcc250e137025d17f02afaf9c4612a8c76,11,6,1,2,7488,Jeffrey Zhang,Jeffrey4l,"Enable horizon_backend_database if murano is enabled

Change-Id: I0eed4024b4ca86e458d92bd9703fb4a02feee947
Closes-Bug: #1666618
(cherry picked from commit b03906dd8baac075458c930b4f9430ed5666b904)
"
openstack%2Fmonasca-agent~stable%2Focata~I8e42b1886de69538092d6314e39efdfe927820e3,openstack/monasca-agent,stable/ocata,bug/1673407,I8e42b1886de69538092d6314e39efdfe927820e3,Detect monasca-api with WSGI as Python implementation,MERGED,2017-03-20 08:00:55.000000000,2017-03-20 11:43:09.000000000,2017-03-20 11:43:09.000000000,20,1,0,447402,996b26b8031ef529ef6c2e891fb10dae66196c65,6,8,1,2,23043,Jakub Wachowski,wachowskij,"Detect monasca-api with WSGI as Python implementation

Since monasca-api can now be run as WSGI with apache server,
monasca_setup should detect this as a Python implementation
of monasca-api.

Change-Id: I8e42b1886de69538092d6314e39efdfe927820e3
Closes-Bug: #1673407
(cherry picked from commit 4857aac434016b100feff3b68d4e1c6f7427ff78)
"
